寝室号	寝室名称	寝室电话	寝室面积
A01	德智1栋101	88821211	20.33
A02	德智1栋103	88831331	20.44
A03	德智2栋205	88822110	21.68
A04	德智2栋206	88824618	20.53
A05	德智2栋307	88822789	20.23
A06	德智2栋411	88823396	20.18
A07	德智2栋413	88824432	20.95
A08	德智2栋415	88827795	20.38
A09	德智3栋101	88829721	30.47
A10	德智3栋102	88821765	31.25
A11	德智3栋103	88821673	32.81
A12	德智3栋104	88829360	32.09
B01	天马1栋110	88824678	20.74
B02	天马2栋124	88232487	21.05
B03	天马2栋210	88828604	19.67
B04	天马2栋222	88221348	20.33
B05	天马3栋101	88823420	30.74
B06	天马3栋102	88820374	41.05
B07	天马3栋103	88828605	39.67
B08	天马4栋110	88221748	20.35
B09	天马4栋221	88824548	29.74
B10	天马5栋401	88233487	26.05
B11	天马5栋405	88828904	29.67
B12	天马6栋101	88223488	30.33
B13	天马6栋102	88223478	30.26
B14	天马6栋103	88223688	30.11
