½ÌÊ¦±àºÅ	¿Î³Ì±àºÅ
T001	C001
T001	C005
T001	C021
T002	C002
T002	C007
T003	C004
T003	C007
T003	C018
T003	C019
T004	C010
T004	C012
T004	C016
T004	C017
T005	C002
T005	C003
T005	C014
T006	C004
T007	C015
T007	C017
T007	C019
T008	C005
T009	C009
T009	C016
T010	C006
T010	C008
T010	C009
T011	C003
T011	C009
T011	C018
T011	C024
T012	C021
T012	C022
T013	C011
T013	C017
T013	C020
T014	C005
T015	C008
T016	C010
T016	C013
T017	C003
T017	C005
T018	C004
T018	C008
T018	C021
T019	C019
T019	C021
T019	C022
T019	C024
T020	C024
T021	C021
T021	C022
T022	C007
T023	C006
T024	C016
T025	C012
T026	C004
T027	C008
T027	C016
T027	C020
T029	C018
T029	C020
T030	C021
